k,aic,bic,log_likelihood
1,21516.85884765805,22377.749580854233,-33.74496610201611
2,21221.975491533034,22947.499961113204,-32.53201200566191
3,20931.2655850815,23521.42379104566,-31.3257461299383
4,20756.951949544535,24211.743891892685,-30.306012739654705
5,21258.28888972264,25577.714568454783,-30.369052707888848
6,21289.413339144317,26473.472754260452,-29.678547017859483
7,20036.447178283117,26085.14032978324,-26.93020381135115
8,19116.523077715672,26029.849965599788,-24.715581855313577
