Cluster,phase1,phase2,phase3
0,0.0,0.0,1.0
1,0.36428571428571427,0.2785714285714286,0.35714285714285715
2,0.22,0.42,0.36
3,0.43661971830985913,0.323943661971831,0.23943661971830985
