KMeansCluster,phase1,phase2,phase3
0,0.4700854700854701,0.15384615384615385,0.37606837606837606
1,0.390625,0.34375,0.265625
2,0.10810810810810811,0.4864864864864865,0.40540540540540543
3,0.2127659574468085,0.48936170212765956,0.2978723404255319
