k,inertia,silhouette
2,12281.479280916777,0.15699879453608823
3,11585.059201238526,0.0744544346479166
4,11004.233840224708,0.08574292943238433
5,10538.954545673292,0.07725990094372275
6,10140.19377687094,0.06489244415559864
7,9816.130181194285,0.06893526590711921
8,9559.583745554137,0.07912731798723681
