fold,held_out_individual,n_train,n_test,selected_k,selected_pca_components,test_nmi,test_ari
1,1,300,12,2,14,0.14347837718429376,0.0
2,2,300,12,2,14,0.03335583842028904,-0.0906515580736544
3,3,300,12,2,14,0.0,-0.13793103448275862
4,4,300,12,2,14,0.29328196991545497,0.15864022662889518
5,5,300,12,2,14,0.03335583842028904,-0.0906515580736544
6,6,300,12,2,14,0.0973434497860696,-0.011494252873563218
7,7,300,12,2,14,0.03335583842028904,-0.0906515580736544
8,8,300,12,2,14,0.03335583842028904,-0.0906515580736544
9,9,300,12,2,14,0.0973434497860696,-0.011494252873563218
10,10,300,12,2,14,0.29328196991545497,0.15864022662889518
11,11,300,12,2,14,0.5532081014106209,0.40793201133144474
12,12,300,12,2,14,0.03335583842028904,-0.0906515580736544
13,13,300,12,2,14,0.30156196493044957,0.16304347826086957
14,14,300,12,2,14,0.0973434497860696,-0.011494252873563218
15,15,300,12,2,14,0.035242401581660567,-0.07608695652173914
16,16,300,12,2,14,0.355245321275764,0.2413793103448276
17,17,300,12,2,14,0.29328196991545497,0.15864022662889518
18,18,300,12,2,14,0.0973434497860696,-0.011494252873563218
19,19,300,12,2,14,0.0,-0.0916030534351145
20,20,300,12,2,14,0.0973434497860696,-0.011494252873563218
21,21,300,12,2,14,0.13146333249598863,0.0339943342776204
22,22,300,12,2,14,0.03335583842028904,-0.0906515580736544
23,23,300,12,2,14,0.03335583842028904,-0.0906515580736544
24,24,300,12,2,14,0.03335583842028904,-0.0906515580736544
25,25,300,12,2,14,0.0973434497860696,-0.011494252873563218
26,26,300,12,2,14,0.173203598552469,0.020356234096692113
