Cluster,phase1,phase2,phase3
0,0.46835443037974683,0.25316455696202533,0.27848101265822783
1,0.3559322033898305,0.3135593220338983,0.3305084745762712
2,0.21739130434782608,0.40869565217391307,0.3739130434782609
