k,aic,bic,log_likelihood
1,16228.12235335325,16332.926442611915,-25.916862745758415
2,16080.685753079764,16294.036934784905,-25.587637424807316
3,16055.164124605788,16377.062398757404,-25.453788661227225
4,15882.558339932839,16313.00370653093,-25.08422810886673
5,16029.400845905446,16568.393304950012,-25.226603919720265
6,16008.497981929755,16656.037533420797,-25.100157022323327
7,16012.179550618504,16768.26619455602,-25.01310825419632
8,16004.52866220434,16869.16239858833,-24.90789849712234
